filename,codepoint,sagitype,smufl_class,sagispeak
accSagittalSharp19sDown.png,U+E3BE,(||~,accSagittalSharp19sDown,raosharp
accSagittalSharp5v7kDown.png,U+E316,/||),accSagittalSharp5v7kDown,naosharp
accSagittalSharp17kDown.png,U+E3BC,)//||,accSagittalSharp17kDown,saosharp
accSagittalSharp7v11kDown.png,U+E352,//||,accSagittalSharp7v11kDown,ranaosharp
accSagittalSharp143CDown.png,U+E3BA,~||\,accSagittalSharp143CDown,slaosharp
accSagittalSharp17CDown.png,U+E350,(||(,accSagittalSharp17CDown,sanaosharp
accSagittalSharp23CDown.png,U+E37A,/||~,accSagittalSharp23CDown,zaosharp
accSagittalSharp11v49CDown.png,U+E3B8,~||),accSagittalSharp11v49CDown,shaosharp
accSagittalSharp19CDown.png,U+E3B6,(||,accSagittalSharp19CDown,razaosharp
accSagittalSharp5CDown.png,U+E314,||\,accSagittalSharp5CDown,paosharp
accSagittalSharp5v19CDown.png,U+E378,)||),accSagittalSharp5v19CDown,praosharp
accSagittalSharp7CDown.png,U+E312,||),accSagittalSharp7CDown,taosharp
accSagittalSharp7v19CDown.png,U+E3B4,)/||,accSagittalSharp7v19CDown,rataosharp
accSagittalSharp55CDown.png,U+E34E,/||,accSagittalSharp55CDown,kaosharp
accSagittalSharp7v11CDown.png,U+E34C,)||~,accSagittalSharp7v11CDown,jaosharp
accSagittalSharp49SDown.png,U+E3B2,~~||,accSagittalSharp49SDown,sataosharp
accSagittalSharp5v23SDown.png,U+E376,||~,accSagittalSharp5v23SDown,pazaosharp
accSagittalSharp5v11SDown.png,U+E34A,~||(,accSagittalSharp5v11SDown,janaosharp
accSagittalSharp23SDown.png,U+E3B0,)~||,accSagittalSharp23SDown,sakaosharp
accSagittalSharp25SDown.png,U+E310,)||(,accSagittalSharp25SDown,faosharp
